playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
altuvjo01,2016,1,HOU,AL,161,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15
bregmal01,2016,1,HOU,AL,49,201,31,53,13,3,8,34,2,0,15,52,0,0,0,1,1
castrja01,2016,1,HOU,AL,113,329,41,69,16,3,11,32,2,1,45,123,0,1,1,0,9
correca01,2016,1,HOU,AL,153,577,76,158,36,3,20,96,13,3,75,139,5,5,0,3,12
gattiev01,2016,1,HOU,AL,128,447,58,112,19,0,32,72,2,1,43,127,6,4,0,5,12
gomezca01,2016,1,HOU,AL,85,295,27,62,16,1,5,29,13,2,21,100,2,4,3,0,11
gonzama01,2016,1,HOU,AL,141,484,55,123,26,3,13,51,12,6,22,118,1,5,6,1,16
gourryu01,2016,1,HOU,AL,36,130,13,34,7,0,3,15,1,1,5,12,0,1,0,1,7
kempto01,2016,1,HOU,AL,59,120,15,26,4,3,1,7,2,1,14,27,0,0,1,1,5
marisja01,2016,1,HOU,AL,118,287,40,60,18,1,5,21,10,5,16,83,0,3,4,1,4
rasmuco01,2016,1,HOU,AL,107,369,38,76,10,0,15,54,4,1,43,121,0,0,1,4,5
reedaj01,2016,1,HOU,AL,45,122,11,20,3,0,3,8,0,0,18,48,0,0,0,1,1
springe01,2016,1,HOU,AL,162,644,116,168,29,5,29,82,9,10,88,178,2,11,0,1,12
tuckepr01,2016,1,HOU,AL,48,134,11,22,8,1,4,8,0,0,8,40,0,2,0,0,2
valbulu01,2016,1,HOU,AL,90,292,38,76,17,1,13,40,1,1,44,81,2,1,3,2,5
whitety01,2016,1,HOU,AL,86,249,24,54,16,0,8,28,1,0,23,65,1,2,0,2,6
