Date,Open,High,Low,Close,Volume
1/4/2010,66.39,67.2,66.12,67.11,5771234
1/5/2010,66.99,67.62,66.73,67.3,7366270
1/6/2010,67.17,68.94,67.03,68.8,9949946
1/7/2010,68.49,69.81,68.21,69.51,7700297
1/8/2010,69.19,72,69.09,70.65,13487621
1/11/2010,71.3,71.56,69.37,70.65,10301674
1/12/2010,69.2,70.71,68.8,69.59,9407467
1/13/2010,69.71,71.08,68.22,70.85,8803928
1/14/2010,70.11,71.83,70.11,71.29,7212395
1/15/2010,71.22,71.97,70.14,70.83,12585485
1/19/2010,69.87,71.25,69.54,70.93,7363557
1/20/2010,69.77,70.15,67.98,69.09,10724673
1/21/2010,69.02,69.49,67.52,68.31,11573809
1/22/2010,67.39,68.38,64.92,65.24,14340182
1/25/2010,65.69,66.58,64.5,65.81,9891413
1/26/2010,65.25,67.75,64.77,65.75,9106131
1/27/2010,65.46,66.29,64.82,65.7,9693320
1/28/2010,66.12,66.75,64.23,64.63,8888856
1/29/2010,65.4,66.19,62.89,63.46,11921652
2/1/2010,64.3,65.2,63.93,64.79,8508087
2/2/2010,65.5,66.53,64.97,66.12,7972146
2/3/2010,65.72,66.88,65.57,65.99,6111764
2/4/2010,64.99,65.19,62.33,62.5,9732087
2/5/2010,62.61,63.17,60.26,62.06,11505298
2/8/2010,62.23,63.68,61.57,62.12,7957277
2/9/2010,63.13,64.99,63,63.76,9163435
2/10/2010,63.61,64.25,62.35,63.65,6904502
2/11/2010,63.56,64.9,62.55,64.76,7325018
2/12/2010,63.7,64.73,63.12,64.3,8399942
2/16/2010,65.33,65.74,64.57,65.65,6115901
2/17/2010,65.83,66,64.88,65.43,6430799
2/18/2010,65.88,66.33,65.09,65.81,7704383
2/19/2010,63.36,64.39,62.98,63.9,18089091
2/22/2010,60.09,61.94,59.75,61.57,87133565
2/23/2010,61.5,61.72,60.16,60.88,35859448
2/24/2010,61.13,61.5,60.36,60.91,22981225
2/25/2010,60.09,60.94,59.42,60.81,17559534
2/26/2010,61.13,61.4,60.52,61.1,15524047
3/1/2010,61.83,61.98,60.96,61.42,12844284
3/2/2010,61.59,62.88,61,62.81,17688453
3/3/2010,63.39,64.03,63.03,63.23,15293634
3/4/2010,63.24,63.73,62.27,62.88,12993852
3/5/2010,63.41,63.94,63.21,63.81,11023972
3/8/2010,63.83,64.65,63.78,64.48,12252998
3/9/2010,64.04,64.57,63.7,64.1,12033008
3/10/2010,64.01,64.52,63.23,64.2,11854580
3/11/2010,64.06,64.19,63.35,63.9,8029785
3/12/2010,64.17,64.67,63.8,64.54,8398449
3/15/2010,64.1,64.67,63.3,64.31,10054125
3/16/2010,64.81,65.66,64.17,65.52,9912092
3/17/2010,65.77,66.98,65.5,66.6,12425677
3/18/2010,66.5,66.73,64.8,65.25,12906198
3/19/2010,65.43,65.78,63.74,64.32,18665822
3/22/2010,62.7,64.3,62.04,63.49,15691252
3/23/2010,63.53,63.97,62.78,63.03,10663715
3/24/2010,62.41,63.31,62.01,62.21,11763187
3/25/2010,62.85,63.25,60.67,60.76,12400241
3/26/2010,61.12,61.99,61.1,61.67,11645299
3/29/2010,62.32,63.4,62.18,63.07,10952723
3/30/2010,63.3,63.83,62.77,63.05,10340509
3/31/2010,63.43,63.56,62.94,63.46,11957738
4/1/2010,64.24,64.87,63.97,64.57,11194164
4/5/2010,65.03,66.23,64.76,65.77,9734700
4/6/2010,65.89,67.02,65.8,66.79,10429632
4/7/2010,66.85,66.85,65.68,66.04,9759091
4/8/2010,65.48,66.8,65.04,66.62,8790875
4/9/2010,67.07,67.35,66.23,66.53,7648426
4/12/2010,66.2,66.84,66.15,66.31,5928359
4/13/2010,66.4,66.4,64.61,65.51,10312735
